Date,From,To,Mode,Distance (mi)
2025-01-06 17:32,"Hailey, United States","King, United States",Flight,443.85
2025-01-06 17:33,"King, United States","Hailey, United States",Flight,443.55
2025-01-06 17:42,"Camas County, United States","Fairfield, United States",Car,14.37
2025-01-06 17:48,"Camas County, United States","Elmore, United States",Car,13.04
2025-01-06 17:54,"Elmore County, United States","Boise, United States",Car,26.46
2025-01-06 18:06,"Boise, United States","Washington County, United States",Car,80.81
2025-01-06 18:15,"Washington County, United States","Union, United States",Car,63.66
2025-01-06 18:27,"Union, United States","Hermiston, United States",Car,78.25
2025-01-06 18:33,"Hermiston, United States","Sunnyside, United States",Car,43.49
2025-01-06 18:40,"Outlook, United States","Yakima, United States",Car,35.18
2025-01-06 18:46,"Yakima, United States","Yakima County, United States",Car,33.93
2025-01-06 18:48,"Yakima County, United States","Pierce County, United States",Car,12.35
2025-01-06 18:50,"Pierce County, United States","King County, United States",Car,13.9
2025-01-06 21:06,"Kent, United States","Mercer Island, United States",Car,17.08
2025-01-10 04:20,"SeaTac, United States","Kihei, United States",Flight,2653.95
2025-01-14 20:58,"Kihei, United States","Kahului, United States",Car,12.04
2025-01-14 20:59,"Kahului, United States","Kihei, United States",Car,12.06
2025-01-25 03:35,"Kahului, United States","Kihei, United States",Car,14.75
2025-01-25 23:30,"Paia, United States","Kihei, United States",Car,11.94
2025-01-25 23:31,"Kihei, United States","Paia, United States",Car,11.92
2025-02-09 19:30,"Kihei, United States","Maui, United States",Car,14.31
2025-02-09 19:31,"Maui, United States","Kihei, United States",Car,14.12
2025-02-16 18:27,"Maalaea, United States","Lahaina, United States",Car,11.33
2025-02-16 23:47,"Maui County, United States","Maui, United States",Car,12.44
2025-02-16 23:48,"Maui, United States","Maui County, United States",Car,12.4
2025-02-24 20:25,"Kihei, United States","Kahului, United States",Car,11.98
2025-02-24 20:26,"Kahului, United States","Kihei, United States",Car,11.7
2025-03-13 01:01,"Maui County, United States","Kalaoa, United States",Car,83.75
2025-03-15 00:03,"Kailua, United States","Wailuku, United States",Car,83.93
2025-03-21 03:11,"Kahului, United States","SeaTac, United States",Flight,2639.87
2025-03-21 16:58,"Mercer Island, United States","Fort Lewis, United States",Car,41.06
2025-03-21 16:59,"Fort Lewis, United States","Mercer Island, United States",Car,41.35
2025-03-21 19:05,"Lacey, United States","Seattle, United States",Car,40.04
2025-03-21 19:06,"Seattle, United States","Lacey, United States",Car,39.93
2025-03-22 16:24,"Tukwila, United States","Pierce County, United States",Car,53.32
2025-03-22 16:26,"Pierce County, United States","Lewis County, United States",Car,17.19
2025-03-22 16:29,"Lewis County, United States","Yakima, United States",Car,26.16
2025-03-22 23:45,"Yakima, United States","Sun Valley, United States",Flight,377.57
2025-03-29 16:05,"Hailey, United States","Seattle, United States",Flight,482.11
2025-04-03 23:22,"Seatac, United States","Kahului, United States",Flight,2646.4
2025-04-15 18:58,"Kihei, United States","Kahului, United States",Car,13.05
2025-04-15 18:59,"Kahului, United States","Kihei, United States",Car,12.99
2025-04-25 19:16,"Kihei, United States","Kaupakalua, United States",Car,18.29
2025-04-25 19:17,"Kaupakalua, United States","Kihei, United States",Car,17.99
2025-04-30 00:13,"Lahaina, United States","Kihei, United States",Car,16.72
2025-04-30 00:14,"Kihei, United States","Lahaina, United States",Car,16.63
2025-05-12 01:00,"Maui County, United States","None, None",Flight,566.89
2025-05-12 05:27,"None, None","SeaTac, United States",Flight,1294.78
2025-05-13 20:40,"SeaTac, United States","Las Veredas, Mexico",Flight,1817.14
2025-05-18 21:50,"Los Cabos Municipality, Mexico","Las Veredas, Mexico",Car,12.57
2025-05-19 02:49,"Las Veredas, Mexico","SeaTac, United States",Flight,1817.65
2025-05-28 15:01,"Seattle, United States","San Juan, United States",Car,75.38
2025-05-28 15:02,"San Juan, United States","Seattle, United States",Car,75.25
2025-06-01 17:48,"Roche Harbor, United States","Kitsap, United States",Car,58.23
2025-06-01 17:50,"Kitsap, United States","San Juan County, United States",Car,58.68
2025-06-07 10:07,"SeaTac, United States","Schiphol, Netherlands",Flight,4871.78
2025-06-07 15:21,"Schiphol, Netherlands","Fiumicino, Italy",Flight,806.38
2025-06-07 15:58,"Rome, Italy","Bracciano, Italy",Car,14.86
2025-06-07 15:59,"Bracciano, Italy","Fiumicino, Italy",Car,14.67
2025-06-08 07:11,"Canale Monterano, Italy","Attigliano, Italy",Car,30.15
2025-06-08 07:13,"Attigliano, Italy","Canale Monterano, Italy",Car,29.58
2025-06-08 08:58,"Civitella D'Agliano, Italy","Colle Di Val D'Elsa, Italy",Car,77.36
2025-06-08 08:59,"Colle Di Val D'Elsa, Italy","Civitella D'Agliano, Italy",Car,77.03
2025-06-11 08:21,"Tavarnelle Val Di Pesa, Italy","Florence, Italy",Car,11.71
2025-06-11 08:22,"Florence, Italy","Tavarnelle Val Di Pesa, Italy",Car,11.79
2025-06-11 17:29,"Florence, Italy","Tavarnelle Val Di Pesa, Italy",Car,13.97
2025-06-13 09:12,"Tavarnelle Val Di Pesa, Italy","Castelnuovo Berardenga, Italy",Car,22.87
2025-06-13 09:13,"Castelnuovo Berardenga, Italy","Tavarnelle Val Di Pesa, Italy",Car,22.87
2025-06-14 06:13,"Montepulciano, Italy","Civitella D'Agliano, Italy",Car,36.92
2025-06-14 06:15,"Civitella D'Agliano, Italy","Montepulciano, Italy",Car,36.92
2025-06-14 07:27,"Giove, Italy","Rome, Italy",Car,47.21
2025-06-14 07:28,"Rome, Italy","Giove, Italy",Car,46.56
2025-06-14 09:50,"Fiumicino, Italy","Graffignano, Italy",Car,52.17
2025-06-14 09:51,"Graffignano, Italy","Fiumicino, Italy",Car,52.29
2025-06-14 11:11,"Civitella D'Agliano, Italy","Chiusi, Italy",Car,31.29
2025-06-14 11:12,"Chiusi, Italy","Castiglione In Teverina, Italy",Car,30.6
2025-06-14 12:12,"Montepulciano, Italy","Allerona, Italy",Car,20.09
2025-06-14 12:13,"Allerona, Italy","Montepulciano, Italy",Car,19.83
2025-06-14 13:45,"Orvieto, Italy","Rome, Italy",Car,54.2
2025-06-14 13:46,"Rome, Italy","Orvieto, Italy",Car,54.39
2025-06-14 15:45,"Fiumicino, Italy","Rome, Italy",Car,12.55
2025-06-14 15:46,"Rome, Italy","Fiumicino, Italy",Car,12.71
2025-06-17 09:15,"Rome, Italy","Gricignano di Aversa, Italy",Flight,108.45
2025-06-17 09:16,"Gricignano di Aversa, Italy","Rome, Italy",Flight,108.09
2025-06-17 09:31,"Rome, Italy","Valmontone, Italy",Car,19.05
2025-06-17 10:58,"Marzano Appio, Italy","Calvi Risorta, Italy",Car,11.25
2025-06-17 12:07,"Naples, Italy","Massa Lubrense, Italy",Car,18.69
2025-06-17 12:08,"Massa Lubrense, Italy","Naples, Italy",Car,18.59
