Location,Fractional Days
"Kihei, United States",80.4
"Mercer Island, United States",44.7
"Ketchum, United States",20.7
"Wailea, United States",15.9
"Rome, Italy",4.7
"Cabo San Lucas, Mexico",4.1
"Tavarnelle Val Di Pesa, Italy",4.0
"Sun Valley, United States",3.9
"Roche Harbor, United States",3.7
"Santa Flavia, Italy",3.6
"Taormina, Italy",3.2
"Makawao, United States",3.2
"Seattle, United States",3.0
"Bend, United States",2.7
"Kahului, United States",2.6
"Bellevue, United States",2.4
"Martina Franca, Italy",2.2
"Kailua Kona, United States",1.7
"None, Croatia",1.7
"Paia, United States",1.6
"SeaTac, United States",1.6
"Ricadi, Italy",1.5
"Curzola, Croatia",1.3
"Fiumicino, Italy",1.2
"Palermo, Italy",1.0
"Grad Vis, Croatia",0.9
"Stanley, United States",0.9
"Medina, United States",0.9
"Lecce, Italy",0.9
"Split, Croatia",0.8
"Dubrovnik-Neretva County, Croatia",0.8
"Positano, Italy",0.8
"Hailey, United States",0.8
"Montepulciano, Italy",0.8
"Split-Dalmatia County, Croatia",0.7
"Maui County, United States",0.6
"Canale Monterano, Italy",0.6
"Garden City, United States",0.6
"Wailuku, United States",0.6
"Lissa, Croatia",0.6
"Schiphol, Netherlands",0.5
"Los Cabos, Mexico",0.4
"None, None",0.4
"Capo d'Orlando, Italy",0.4
"Lahaina, United States",0.3
"Florence, Italy",0.3
"Blaine County, United States",0.3
"Makena, United States",0.3
"Las Veredas, Mexico",0.3
"Maratea, Italy",0.3
"None, United States of America",0.3
"San Juan County, United States",0.3
"Maui, United States",0.2
"Grad Korčula, Croatia",0.2
"Diamante, Italy",0.2
"Arienzo, Italy",0.2
"Aprilia, Italy",0.2
"Cefalù, Italy",0.2
"Dubrovnik, Croatia",0.2
"Messina, Italy",0.2
"Radda In Chianti, Italy",0.2
"Sisters, United States",0.2
"Bagheria, Italy",0.2
"Grad Hvar, Croatia",0.2
"Kailua, United States",0.2
"Gaiole In Chianti, Italy",0.2
"Polače, Croatia",0.2
"Locorotondo, Italy",0.2
"Newcastle, United States",0.1
"San Juan, United States",0.1
"Gioiosa Marea, Italy",0.1
"Harney County, United States",0.1
"Kanahena, United States",0.1
"Ostuni, Italy",0.1
"Kirkland, United States",0.1
"Rina, Italy",0.1
"Clyde Hill, United States",0.1
"Agrigento, Italy",0.1
"Castellina In Chianti, Italy",0.1
"Redmond, United States",0.1
"Kula, United States",0.1
"Lesina, Croatia",0.1
"Camporeale, Italy",0.1
"San José del Cabo, Mexico",0.1
"Fairfield, United States",0.1
"Maʻalaea, United States",0.1
"Barberino Val D'Elsa, Italy",0.1
"Tropea, Italy",0.1
"Maalaea, United States",0.1
"Brindisi, Italy",0.1
"Island, United States",0.1
"Polizzi Generosa, Italy",0.1
"Jefferson, United States",0.1
"Pukalani, United States",0.1
"Gioia Tauro, Italy",0.1
"Alberobello, Italy",0.1
"Poggioreale, Italy",0.1
"Carovigno, Italy",0.1
"Naples, Italy",0.1
"Lopud, Croatia",0.1
"Novoli, Italy",0.1
"Bagnara Calabra, Italy",0.1
"Lakewood, United States",0.1
"Casteldaccia, Italy",0.1
"Kingston, United States",0.1
"Hines, United States",0.1
"Boise, United States",0.1
"Civitella D'Agliano, Italy",0.1
"Elmore County, United States",0.1
"Ontario, United States",0.1
"Poggibonsi, Italy",0.1
"Pizzo, Italy",0.1
"Sorrento, Italy",0.1
"Lacey, United States",0.1
"Curinga, Italy",0.1
"Tukwila, United States",0.1
"Mountain Home, United States",0.0
"Deschutes County, United States",0.0
"Altavilla Milicia, Italy",0.0
"Monreale, Italy",0.0
"Malheur County, United States",0.0
"Torrita Di Siena, Italy",0.0
"Cavtat, Croatia",0.0
"Issaquah, United States",0.0
"Baošići, Montenegro",0.0
"Villabate, Italy",0.0
"Vale, United States",0.0
"Massa Lubrense, Italy",0.0
"Campofelice Di Roccella, Italy",0.0
