Date,From,To,Mode,Distance (mi)
2025-01-06 17:32,"Hailey, United States","King, United States",Flight,443.87
2025-01-06 17:44,"King, United States","Camas County, United States",Flight,424.52
2025-01-06 18:15,"Camas County, United States","Union, United States",Flight,195.68
2025-01-06 18:46,"Union, United States","Yakima County, United States",Flight,199.3
2025-01-06 18:55,"Yakima County, United States","Covington, United States",Car,49.0
2025-01-06 21:06,"Covington, United States","Mercer Island, United States",Car,17.82
2025-01-10 04:20,"SeaTac, United States","Kihei, United States",Flight,2653.92
2025-01-14 20:58,"Kihei, United States","Kahului, United States",Car,12.04
2025-01-14 20:59,"Kahului, United States","Kihei, United States",Car,12.06
2025-01-25 03:35,"Kahului, United States","Kihei, United States",Car,14.75
2025-01-25 23:30,"Paia, United States","Kihei, United States",Car,11.94
2025-02-01 22:03,"Kihei, United States","Kahului, United States",Car,10.32
2025-02-16 18:27,"Kihei, United States","Lahaina, United States",Car,15.91
2025-02-24 20:25,"Kihei, United States","Kahului, United States",Car,13.37
2025-02-25 20:09,"Paia, United States","Kihei, United States",Car,11.25
2025-03-13 01:30,"Maui County, United States","Kailua, United States",Car,83.86
2025-03-15 00:03,"Kailua, United States","Wailuku, United States",Car,83.96
2025-03-21 03:11,"Kahului, United States","SeaTac, United States",Flight,2639.87
2025-03-21 16:58,"Mercer Island, United States","Fort Lewis, United States",Car,41.23
2025-03-21 17:01,"Fort Lewis, United States","Mercer Island, United States",Car,41.25
2025-03-21 17:15,"Mercer Island, United States","Seatac, United States",Car,10.75
2025-03-21 17:25,"Seatac, United States","Federal Way, United States",Car,11.11
2025-03-21 17:42,"Federal Way, United States","Fort Lewis, United States",Car,16.0
2025-03-21 17:53,"Fort Lewis, United States","Lacey, United States",Car,10.36
2025-03-21 19:05,"Lacey, United States","Seattle, United States",Car,39.92
2025-03-21 19:22,"Seattle, United States","Lakewood, United States",Car,31.12
2025-03-21 19:34,"Lakewood, United States","Fife, United States",Car,11.36
2025-03-21 19:49,"Fife, United States","Tukwila, United States",Car,15.67
2025-03-21 20:02,"Tukwila, United States","Seattle, United States",Car,10.65
2025-03-22 16:24,"Tukwila, United States","Pierce County, United States",Car,55.45
2025-03-22 16:26,"Pierce County, United States","Lewis County, United States",Car,17.19
2025-03-22 16:29,"Lewis County, United States","Yakima, United States",Car,26.16
2025-03-22 23:46,"Yakima, United States","Ketchum, United States",Flight,377.31
2025-03-29 14:20,"Ketchum, United States","Hailey, United States",Car,11.36
2025-03-29 16:05,"Hailey, United States","Seattle, United States",Flight,482.11
2025-04-03 23:22,"SeaTac, United States","Kahului, United States",Flight,2645.65
2025-04-08 21:59,"Kihei, United States","Pulehu, United States",Car,10.02
2025-04-15 18:58,"Kihei, United States","Kahului, United States",Car,12.44
2025-04-15 19:00,"Kahului, United States","Kihei, United States",Car,12.39
2025-04-25 19:16,"Wailea, United States","Kaupakalua, United States",Car,19.52
2025-04-25 19:23,"Kaupakalua, United States","Kihei, United States",Car,15.63
2025-04-30 00:13,"Lahaina, United States","Kihei, United States",Car,16.72
2025-04-30 00:43,"Kihei, United States","Olowalu, United States",Car,12.26
2025-05-12 01:00,"Maui County, United States","None, None",Flight,566.89
2025-05-12 05:27,"None, None","SeaTac, United States",Flight,1294.78
2025-05-13 20:41,"SeaTac, United States","Las Veredas, Mexico",Flight,1816.55
2025-05-13 21:19,"Las Veredas, Mexico","Los Cabos Municipality, Mexico",Car,12.47
2025-05-18 21:50,"Los Cabos Municipality, Mexico","Las Veredas, Mexico",Car,12.57
2025-05-19 02:50,"Las Veredas, Mexico","SeaTac, United States",Flight,1816.47
2025-05-28 15:42,"Seattle, United States","Kingston, United States",Car,10.14
2025-05-28 16:16,"Kingston, United States","Hansville, United States",Car,10.3
2025-05-28 16:59,"Island, United States","Jefferson, United States",Car,10.26
2025-05-28 17:31,"Jefferson, United States","Island, United States",Car,11.18
2025-05-28 18:53,"San Juan, United States","San Juan County, United States",Car,10.12
2025-06-01 17:48,"Roche Harbor, United States","Kitsap, United States",Car,58.23
2025-06-01 18:47,"Kitsap, United States","San Juan, United States",Car,53.05
2025-06-07 10:07,"SeaTac, United States","Schiphol, Netherlands",Flight,4871.78
2025-06-07 15:21,"Schiphol, Netherlands","Fiumicino, Italy",Flight,806.38
2025-06-07 15:58,"Fiumicino, Italy","Bracciano, Italy",Car,15.01
2025-06-07 16:05,"Bracciano, Italy","Fiumicino, Italy",Car,10.27
