Location,Fractional Days
"Kihei, United States",77.6
"Mercer Island, United States",44.1
"Ketchum, United States",21.0
"Wailea, United States",18.7
"Rome, Italy",4.7
"Cabo San Lucas, Mexico",4.1
"Tavarnelle Val Di Pesa, Italy",4.0
"Sun Valley, United States",3.8
"Roche Harbor, United States",3.7
"Santa Flavia, Italy",3.6
"Seattle, United States",3.3
"Makawao, United States",3.3
"Taormina, Italy",3.2
"Bend, United States",2.7
"Bellevue, United States",2.6
"Kahului, United States",2.4
"Martina Franca, Italy",2.2
"Kailua Kona, United States",1.7
"Paia, United States",1.6
"None, Croatia",1.6
"SeaTac, United States",1.6
"Ricadi, Italy",1.5
"Curzola, Croatia",1.3
"Fiumicino, Italy",1.2
"Palermo, Italy",1.0
"Medina, United States",0.9
"Grad Vis, Croatia",0.9
"Stanley, United States",0.9
"Lecce, Italy",0.9
"Split, Croatia",0.8
"Dubrovnik-Neretva County, Croatia",0.8
"Positano, Italy",0.8
"Montepulciano, Italy",0.8
"Split-Dalmatia County, Croatia",0.7
"Hailey, United States",0.7
"Maui County, United States",0.6
"Wailuku, United States",0.6
"Canale Monterano, Italy",0.6
"Garden City, United States",0.6
"Lissa, Croatia",0.6
"Schiphol, Netherlands",0.5
"None, None",0.4
"Maui, United States",0.4
"Makena, United States",0.4
"Capo d'Orlando, Italy",0.4
"Lahaina, United States",0.3
"Los Cabos, Mexico",0.3
"Grad Korčula, Croatia",0.3
"Florence, Italy",0.3
"Maratea, Italy",0.3
"Las Veredas, Mexico",0.3
"Bagheria, Italy",0.2
"San José del Cabo, Mexico",0.2
"Diamante, Italy",0.2
"Aprilia, Italy",0.2
"Arienzo, Italy",0.2
"Blaine County, United States",0.2
"Cefalù, Italy",0.2
"Messina, Italy",0.2
"Dubrovnik, Croatia",0.2
"San Juan County, United States",0.2
"Sisters, United States",0.2
"Polače, Croatia",0.2
"Gaiole In Chianti, Italy",0.2
"Locorotondo, Italy",0.2
"Radda In Chianti, Italy",0.2
"None, United States of America",0.1
"Kailua, United States",0.1
"Grad Hvar, Croatia",0.1
"San Juan, United States",0.1
"Gioiosa Marea, Italy",0.1
"Newcastle, United States",0.1
"Kirkland, United States",0.1
"Agrigento, Italy",0.1
"Lesina, Croatia",0.1
"Redmond, United States",0.1
"Rina, Italy",0.1
"Ostuni, Italy",0.1
"Camporeale, Italy",0.1
"Clyde Hill, United States",0.1
"Casteldaccia, Italy",0.1
"Maʻalaea, United States",0.1
"Gioia Tauro, Italy",0.1
"Harney County, United States",0.1
"Jefferson, United States",0.1
"Carovigno, Italy",0.1
"Polizzi Generosa, Italy",0.1
"Maalaea, United States",0.1
"Barberino Val D'Elsa, Italy",0.1
"Naples, Italy",0.1
"Elmore County, United States",0.1
"Poggioreale, Italy",0.1
"Fairfield, United States",0.1
"Bagnara Calabra, Italy",0.1
"King County, United States",0.1
"Alberobello, Italy",0.1
"Novoli, Italy",0.1
"Brindisi, Italy",0.1
"Lopud, Croatia",0.1
"Castellina In Chianti, Italy",0.1
"Island, United States",0.1
"Boise, United States",0.1
"Ontario, United States",0.1
"Kanahena, United States",0.1
"Lakewood, United States",0.1
"Poggibonsi, Italy",0.1
"Radda in Chianti, Italy",0.1
"Waiakoa, United States",0.1
"Civitella D'Agliano, Italy",0.1
"Tukwila, United States",0.1
"Tropea, Italy",0.1
"Hines, United States",0.1
"Pizzo, Italy",0.1
"Sorrento, Italy",0.1
"Altavilla Milicia, Italy",0.1
"Seatac, United States",0.0
"Kingston, United States",0.0
"Goveđari, Croatia",0.0
"Monreale, Italy",0.0
"San Nicolò, Italy",0.0
"Mountain Home, United States",0.0
"Kula, United States",0.0
"King, United States",0.0
"Olympia, United States",0.0
"Vale, United States",0.0
"Malheur County, United States",0.0
"Deschutes County, United States",0.0
"Cirella, Italy",0.0
"San Lorenzo Del Vallo, Italy",0.0
"Burns, United States",0.0
"Kitsap, United States",0.0
"Chiusi, Italy",0.0
"None, Mexico",0.0
"Torrita Di Siena, Italy",0.0
"Fasano, Italy",0.0
"Massa Lubrense, Italy",0.0
"Siena, Italy",0.0
"Yakima County, United States",0.0
"Hampton, United States",0.0
"None, Italy",0.0
"Pukalani, United States",0.0
"Issaquah, United States",0.0
"Renton, United States",0.0
"Nocera Scalo, Italy",0.0
"Frosinone, Italy",0.0
"Termini Imerese, Italy",0.0
"Campofelice Di Roccella, Italy",0.0
"Francavilla Angitola, Italy",0.0
"Graham, United States",0.0
"Nicotera, Italy",0.0
"Bolognetta, Italy",0.0
