Location,Fractional Days
"Kihei, United States",79.2
"Mercer Island, United States",44.2
"Ketchum, United States",21.1
"Wailea, United States",17.1
"Rome, Italy",4.7
"Cabo San Lucas, Mexico",4.1
"Tavarnelle Val Di Pesa, Italy",4.0
"Sun Valley, United States",3.8
"Roche Harbor, United States",3.7
"Santa Flavia, Italy",3.6
"Seattle, United States",3.3
"Taormina, Italy",3.2
"Makawao, United States",3.2
"Bend, United States",2.7
"Bellevue, United States",2.6
"Kahului, United States",2.4
"Martina Franca, Italy",2.2
"Kailua Kona, United States",1.7
"None, Croatia",1.6
"Paia, United States",1.6
"SeaTac, United States",1.6
"Ricadi, Italy",1.5
"Curzola, Croatia",1.3
"Fiumicino, Italy",1.2
"Palermo, Italy",1.0
"Grad Vis, Croatia",0.9
"Stanley, United States",0.9
"Medina, United States",0.9
"Lecce, Italy",0.9
"Split, Croatia",0.8
"Dubrovnik-Neretva County, Croatia",0.8
"Positano, Italy",0.8
"Montepulciano, Italy",0.8
"Split-Dalmatia County, Croatia",0.7
"Maui County, United States",0.7
"Hailey, United States",0.7
"Canale Monterano, Italy",0.6
"Wailuku, United States",0.6
"Garden City, United States",0.6
"Lissa, Croatia",0.6
"Schiphol, Netherlands",0.5
"Makena, United States",0.4
"None, None",0.4
"Maui, United States",0.4
"Capo d'Orlando, Italy",0.4
"Lahaina, United States",0.3
"Los Cabos, Mexico",0.3
"Florence, Italy",0.3
"Las Veredas, Mexico",0.3
"Maratea, Italy",0.3
"Grad Korčula, Croatia",0.3
"Dubrovnik, Croatia",0.2
"San José del Cabo, Mexico",0.2
"Diamante, Italy",0.2
"Aprilia, Italy",0.2
"Radda In Chianti, Italy",0.2
"Cefalù, Italy",0.2
"Bagheria, Italy",0.2
"San Juan County, United States",0.2
"Arienzo, Italy",0.2
"Messina, Italy",0.2
"Sisters, United States",0.2
"Blaine County, United States",0.2
"Locorotondo, Italy",0.2
"Gaiole In Chianti, Italy",0.2
"Polače, Croatia",0.2
"None, United States of America",0.2
"Grad Hvar, Croatia",0.1
"Kailua, United States",0.1
"San Juan, United States",0.1
"Gioiosa Marea, Italy",0.1
"Newcastle, United States",0.1
"Agrigento, Italy",0.1
"Rina, Italy",0.1
"Redmond, United States",0.1
"Casteldaccia, Italy",0.1
"Clyde Hill, United States",0.1
"Lesina, Croatia",0.1
"Ostuni, Italy",0.1
"Camporeale, Italy",0.1
"Kirkland, United States",0.1
"Gioia Tauro, Italy",0.1
"Maʻalaea, United States",0.1
"Barberino Val D'Elsa, Italy",0.1
"Jefferson, United States",0.1
"Harney County, United States",0.1
"Polizzi Generosa, Italy",0.1
"Pukalani, United States",0.1
"Castellina In Chianti, Italy",0.1
"Brindisi, Italy",0.1
"Elmore County, United States",0.1
"Island, United States",0.1
"Poggioreale, Italy",0.1
"Fairfield, United States",0.1
"Naples, Italy",0.1
"Alberobello, Italy",0.1
"Lopud, Croatia",0.1
"Novoli, Italy",0.1
"Bagnara Calabra, Italy",0.1
"Ontario, United States",0.1
"Carovigno, Italy",0.1
"Tropea, Italy",0.1
"Civitella D'Agliano, Italy",0.1
"Pizzo, Italy",0.1
"Maalaea, United States",0.1
"Sorrento, Italy",0.1
"Kingston, United States",0.1
"Lakewood, United States",0.1
"Boise, United States",0.1
"Hines, United States",0.1
"Tukwila, United States",0.0
"Goveđari, Croatia",0.0
"Altavilla Milicia, Italy",0.0
"Seatac, United States",0.0
"Poggibonsi, Italy",0.0
"Millican, United States",0.0
"Mountain Home, United States",0.0
"Villa San Giovanni, Italy",0.0
"Kula, United States",0.0
"Vale, United States",0.0
"Ficarazzi, Italy",0.0
"Burien, United States",0.0
"Santa Domenica, Italy",0.0
"Cirella, Italy",0.0
"Fasano, Italy",0.0
"None, Italy",0.0
"Scillato, Italy",0.0
"Kitsap, United States",0.0
"Graffignano, Italy",0.0
"King, United States",0.0
"Waikapu, United States",0.0
"Olympia, United States",0.0
"None, Mexico",0.0
"Gizzeria, Italy",0.0
"Massa Lubrense, Italy",0.0
"Siena, Italy",0.0
"Malheur County, United States",0.0
"Yakima County, United States",0.0
"Kanahena, United States",0.0
"Herceg Novi, Montenegro",0.0
"Cetona, Italy",0.0
"Campofelice Di Roccella, Italy",0.0
"Hampton, United States",0.0
"Bolognetta, Italy",0.0
"Monreale, Italy",0.0
"Waiakoa, United States",0.0
"Issaquah, United States",0.0
"Kent, United States",0.0
"Yakima, United States",0.0
"Nocera Scalo, Italy",0.0
"Termini Imerese, Italy",0.0
"Sperone, Italy",0.0
"Torrita Di Siena, Italy",0.0
"Graham, United States",0.0
"Nicotera, Italy",0.0
"Burns, United States",0.0
"Francavilla Angitola, Italy",0.0
"Juntura, United States",0.0
"Fort Lewis, United States",0.0
"Misilmeri, Italy",0.0
"Kaupakalua, United States",0.0
"Magliano Sabina, Italy",0.0
"Općina Milna, Croatia",0.0
"San Lorenzo Del Vallo, Italy",0.0
"Caldwell, United States",0.0
"Cassino, Italy",0.0
"Capranica, Italy",0.0
"Bracciano, Italy",0.0
"Federal Way, United States",0.0
"Viterbo, Italy",0.0
"Torchiarolo, Italy",0.0
"Zelenika, Montenegro",0.0
"Anagni, Italy",0.0
"Kaonoulu, United States",0.0
"Tacoma, United States",0.0
"Santa Teresa di Riva, Italy",0.0
"Lacey, United States",0.0
"Renton, United States",0.0
"Colle di Val d'Elsa, Italy",0.0
"Pofi, Italy",0.0
"Villapiana Lido, Italy",0.0
"Sinalunga, Italy",0.0
"Curinga, Italy",0.0
"Orvieto, Italy",0.0
"Gem County, United States",0.0
"Lepetane, Montenegro",0.0
"Deschutes County, United States",0.0
"Allerona, Italy",0.0
"Caivano, Italy",0.0
"Washington County, United States",0.0
"Pulehu, United States",0.0
"Marina di Roseto Capo Spulico, Italy",0.0
"Altilia, Italy",0.0
"Campofranco, Italy",0.0
"Hood River County, United States",0.0
"Colonia del Sol, Mexico",0.0
"Chiusi, Italy",0.0
"Cellino San Marco, Italy",0.0
"Castellina in Chianti, Italy",0.0
"Città del Vaticano, Vatican City",0.0
"Massafra, Italy",0.0
"Città Della Pieve, Italy",0.0
"Capua, Italy",0.0
"San Cipirello, Italy",0.0
"Vicari, Italy",0.0
"El Tezal, Mexico",0.0
"Nazzano, Italy",0.0
"Lake County, United States",0.0
"Haʻikū, United States",0.0
"Castrovillari, Italy",0.0
"Cammarata, Italy",0.0
"Capena, Italy",0.0
"Longobardi, Italy",0.0
"Ginosa, Italy",0.0
"Rapolano Terme, Italy",0.0
"Monteriggioni, Italy",0.0
"Općina Orebić, Croatia",0.0
"Colle Di Val D'Elsa, Italy",0.0
"Canicattì, Italy",0.0
"King County, United States",0.0
"Fiano Romano, Italy",0.0
"Orvieto Scalo, Italy",0.0
"Patti, Italy",0.0
"McChord AFB, United States",0.0
"Giove, Italy",0.0
"Caltanissetta, Italy",0.0
"Ada County, United States",0.0
"Furci Siculo, Italy",0.0
"Općina Ston, Croatia",0.0
"Canyon County, United States",0.0
"Glenns Ferry, United States",0.0
"Scandicci, Italy",0.0
"Scanzano Jonico, Italy",0.0
"Resuttano, Italy",0.0
"Altofonte, Italy",0.0
"Torrita, Italy",0.0
"Cisternino, Italy",0.0
"Bomarzo, Italy",0.0
"Meridian, United States",0.0
"Gricignano di Aversa, Italy",0.0
"Vibo Marina, Italy",0.0
"Drewsey, United States",0.0
"Woodinville, United States",0.0
"Camas County, United States",0.0
"Grad Kaštela, Croatia",0.0
"Fife, United States",0.0
"Soriano nel Cimino, Italy",0.0
"Buchanan, United States",0.0
"Tarsia, Italy",0.0
"Quattromiglia, Italy",0.0
"Lamezia Terme, Italy",0.0
"Castelnuovo Berardenga, Italy",0.0
