Date,From,To,Mode,Distance (mi)
2025-01-06 17:32,"Hailey, United States","King, United States",Flight,443.85
2025-01-06 17:43,"King, United States","Camas County, United States",Flight,429.86
2025-01-06 18:06,"Camas County, United States","Washington County, United States",Flight,137.36
2025-01-06 18:46,"Washington County, United States","Yakima County, United States",Flight,262.9
2025-01-06 18:55,"Yakima County, United States","Covington, United States",Car,49.0
2025-01-06 21:06,"Covington, United States","Mercer Island, United States",Car,17.82
2025-01-10 04:20,"SeaTac, United States","Kihei, United States",Flight,2653.92
2025-01-14 20:58,"Kihei, United States","Kahului, United States",Car,12.04
2025-01-14 20:59,"Kahului, United States","Kihei, United States",Car,12.06
2025-01-25 03:35,"Kahului, United States","Kihei, United States",Car,14.75
2025-01-25 23:30,"Paia, United States","Kihei, United States",Car,11.94
2025-02-16 18:27,"Maalaea, United States","Lahaina, United States",Car,11.33
2025-02-24 20:25,"Kihei, United States","Kahului, United States",Car,11.93
2025-03-13 01:01,"Maui County, United States","Kalaoa, United States",Car,83.71
2025-03-15 00:03,"Kailua, United States","Wailuku, United States",Car,83.96
2025-03-21 03:11,"Kahului, United States","SeaTac, United States",Flight,2639.87
2025-03-21 16:58,"Mercer Island, United States","Fort Lewis, United States",Car,41.3
2025-03-21 17:01,"Fort Lewis, United States","Mercer Island, United States",Car,41.25
2025-03-21 17:26,"Seatac, United States","Federal Way, United States",Car,13.1
2025-03-21 17:42,"Federal Way, United States","Fort Lewis, United States",Car,15.17
2025-03-21 17:55,"Fort Lewis, United States","Lacey, United States",Car,12.3
2025-03-21 19:05,"Lacey, United States","Seattle, United States",Car,39.93
2025-03-21 19:23,"Seattle, United States","McChord AFB, United States",Car,30.14
2025-03-21 19:35,"McChord AFB, United States","Fife, United States",Car,11.25
2025-03-21 19:50,"Fife, United States","Seatac, United States",Car,16.14
2025-03-21 20:04,"Seatac, United States","Seattle, United States",Car,11.61
2025-03-22 16:24,"Tukwila, United States","Pierce County, United States",Car,55.45
2025-03-22 16:29,"Pierce County, United States","Yakima, United States",Car,43.36
2025-03-22 23:46,"Yakima, United States","Ketchum, United States",Flight,377.31
2025-03-29 16:05,"Hailey, United States","Seattle, United States",Flight,482.11
2025-04-03 23:22,"SeaTac, United States","Kahului, United States",Flight,2645.65
2025-04-08 21:59,"Kahului, United States","Pulehu, United States",Car,10.47
2025-04-15 18:58,"Kihei, United States","Kahului, United States",Car,13.08
2025-04-15 19:00,"Kahului, United States","Kihei, United States",Car,12.39
2025-04-15 19:53,"Kahului, United States","Kihei, United States",Car,10.14
2025-04-25 19:16,"Kihei, United States","Kaupakalua, United States",Car,18.1
2025-04-25 19:36,"Kaupakalua, United States","Kihei, United States",Car,14.12
2025-04-30 00:13,"Lahaina, United States","Kihei, United States",Car,16.72
2025-04-30 00:21,"Kihei, United States","Lahaina, United States",Car,14.16
2025-05-08 01:48,"Kihei, United States","Kahului, United States",Car,10.59
2025-05-12 01:00,"Maui County, United States","None, None",Flight,566.89
2025-05-12 05:27,"None, None","SeaTac, United States",Flight,1294.78
2025-05-13 20:40,"SeaTac, United States","Las Veredas, Mexico",Flight,1817.21
2025-05-18 21:50,"Los Cabos, Mexico","Las Veredas, Mexico",Car,13.72
2025-05-19 02:50,"Las Veredas, Mexico","SeaTac, United States",Flight,1816.47
2025-05-28 15:01,"Seattle, United States","San Juan, United States",Car,75.36
2025-05-28 15:35,"San Juan, United States","Kingston, United States",Car,67.38
2025-05-28 16:36,"Kitsap, United States","Island, United States",Car,11.17
2025-06-01 17:48,"Roche Harbor, United States","Kitsap, United States",Car,58.23
2025-06-01 18:17,"Kitsap, United States","San Juan, United States",Car,59.16
2025-06-07 10:07,"SeaTac, United States","Schiphol, Netherlands",Flight,4871.78
2025-06-07 15:21,"Schiphol, Netherlands","Fiumicino, Italy",Flight,806.38
2025-06-07 15:58,"Rome, Italy","Bracciano, Italy",Car,14.86
2025-06-08 07:11,"Canale Monterano, Italy","Attigliano, Italy",Car,30.14
2025-06-08 07:40,"Attigliano, Italy","Capranica, Italy",Car,19.14
2025-06-08 08:08,"Capranica, Italy","Viterbo, Italy",Car,10.9
2025-06-08 08:20,"Viterbo, Italy","Soriano nel Cimino, Italy",Car,10.77
2025-06-08 08:38,"Soriano nel Cimino, Italy","Civitella D'Agliano, Italy",Car,10.14
2025-06-08 08:58,"Civitella D'Agliano, Italy","Colle Di Val D'Elsa, Italy",Car,77.15
2025-06-08 09:00,"Colle Di Val D'Elsa, Italy","Castiglione In Teverina, Italy",Car,76.35
2025-06-08 09:22,"Castiglione In Teverina, Italy","Città Della Pieve, Italy",Car,23.93
2025-06-08 09:46,"Città Della Pieve, Italy","Sinalunga, Italy",Car,23.1
2025-06-08 10:11,"Sinalunga, Italy","Siena, Italy",Car,21.95
2025-06-08 10:37,"Siena, Italy","Tavarnelle Val Di Pesa, Italy",Car,17.44
2025-06-11 08:21,"Tavarnelle Val Di Pesa, Italy","Florence, Italy",Car,11.71
2025-06-11 17:29,"Florence, Italy","Tavarnelle Val Di Pesa, Italy",Car,13.97
2025-06-13 09:12,"Tavarnelle Val Di Pesa, Italy","Castelnuovo Berardenga, Italy",Car,22.87
2025-06-13 09:31,"Castelnuovo Berardenga, Italy","Monteriggioni, Italy",Car,16.52
2025-06-13 09:50,"Monteriggioni, Italy","Siena, Italy",Car,10.9
2025-06-13 10:02,"Siena, Italy","Rapolano Terme, Italy",Car,10.6
2025-06-14 06:13,"Montepulciano, Italy","Civitella D'Agliano, Italy",Car,37.18
2025-06-14 06:36,"Civitella D'Agliano, Italy","Cetona, Italy",Car,30.27
2025-06-14 07:17,"Baschi, Italy","Giove, Italy",Car,14.17
2025-06-14 07:27,"Giove, Italy","Rome, Italy",Car,47.19
2025-06-14 07:30,"Rome, Italy","Petignano, Italy",Car,44.88
2025-06-14 07:51,"Petignano, Italy","Nazzano, Italy",Car,22.03
2025-06-14 08:18,"Nazzano, Italy","Rome, Italy",Car,19.0
2025-06-14 08:53,"Rome, Italy","Fiumicino, Italy",Car,14.81
2025-06-14 09:50,"Fiumicino, Italy","Graffignano, Italy",Car,52.15
2025-06-14 10:12,"Graffignano, Italy","Rome, Italy",Car,40.65
2025-06-14 10:30,"Rome, Italy","Fiano Romano, Italy",Car,14.86
2025-06-14 10:45,"Fiano Romano, Italy","Magliano Sabina, Italy",Car,16.14
2025-06-14 10:59,"Magliano Sabina, Italy","Bomarzo, Italy",Car,16.39
2025-06-14 11:11,"Civitella D'Agliano, Italy","Chiusi, Italy",Car,31.12
2025-06-14 11:23,"Chiusi, Italy","Orvieto, Italy",Car,18.77
2025-06-14 11:38,"Orvieto, Italy","Chiusi, Italy",Car,17.51
2025-06-14 12:12,"Montepulciano, Italy","Allerona, Italy",Car,20.09
2025-06-14 12:32,"Allerona, Italy","Cetona, Italy",Car,11.34
2025-06-14 12:50,"Cetona, Italy","Orvieto Scalo, Italy",Car,19.46
2025-06-14 13:45,"Ciconia, Italy","Rome, Italy",Car,54.11
2025-06-14 14:04,"Rome, Italy","Graffignano, Italy",Car,40.55
2025-06-14 14:19,"Graffignano, Italy","Magliano Sabina, Italy",Car,17.45
2025-06-14 14:38,"Magliano Sabina, Italy","Capena, Italy",Car,16.88
2025-06-14 14:53,"Capena, Italy","Rome, Italy",Car,13.83
2025-06-14 15:57,"Fiumicino, Italy","Rome, Italy",Car,10.03
2025-06-17 09:15,"Rome, Italy","Gricignano di Aversa, Italy",Flight,108.45
2025-06-17 09:43,"Gricignano di Aversa, Italy","Anagni, Italy",Car,73.42
2025-06-17 10:08,"Anagni, Italy","Pofi, Italy",Car,19.19
2025-06-17 10:37,"Pofi, Italy","Cassino, Italy",Car,20.61
2025-06-17 10:59,"Cassino, Italy","Capua, Italy",Car,29.54
2025-06-17 11:13,"San Tammaro, Italy","Caivano, Italy",Car,10.35
2025-06-17 12:07,"Naples, Italy","Massa Lubrense, Italy",Car,18.69
2025-06-17 12:57,"None, Italy","Massa Lubrense, Italy",Car,10.06
2025-06-18 15:07,"Sorrento, Italy","None, None",Car,14.49
2025-06-18 17:49,"Caivano, Italy","Rome, Italy",Flight,115.23
2025-06-20 13:09,"Fiumicino, Italy","Slatine, Croatia",Flight,239.12
2025-06-20 13:54,"None, Croatia","Split, Croatia",Car,10.82
2025-06-22 07:18,"None, Croatia","Grad Vis, Croatia",Car,22.22
2025-06-25 08:03,"None, Croatia","Curzola, Croatia",Car,23.85
2025-06-26 07:18,"Curzola, Croatia","Dubrovnik-Neretva County, Croatia",Car,13.61
2025-06-26 07:47,"Dubrovnik-Neretva County, Croatia","Grad Korčula, Croatia",Car,10.9
2025-06-27 07:46,"None, Croatia","Dubrovnik-Neretva County, Croatia",Car,17.93
2025-06-28 17:18,"Mrčevac, Montenegro","Martina Franca, Italy",Flight,137.19
2025-07-01 09:31,"Cellino San Marco, Italy","Carovigno, Italy",Car,21.28
2025-07-01 09:37,"Carovigno, Italy","San Pietro Vernotico, Italy",Car,20.75
2025-07-02 07:00,"Massafra, Italy","Trebisacce, Italy",Car,58.04
2025-07-02 07:19,"Trebisacce, Italy","Ginosa, Italy",Car,43.65
2025-07-02 07:34,"Ginosa, Italy","Scanzano Jonico, Italy",Car,16.05
2025-07-02 07:57,"Scanzano Jonico, Italy","Marina di Roseto Capo Spulico, Italy",Car,19.54
2025-07-02 08:22,"Marina di Roseto Capo Spulico, Italy","Villapiana Lido, Italy",Car,13.62
2025-07-02 08:55,"Villapiana, Italy","San Lorenzo Del Vallo, Italy",Car,15.52
2025-07-02 09:00,"San Lorenzo Del Vallo, Italy","Villapiana, Italy",Car,14.69
2025-07-02 09:20,"Villapiana, Italy","Castrovillari, Italy",Car,12.1
2025-07-02 09:31,"Castrovillari, Italy","Tarsia, Italy",Car,10.32
2025-07-02 09:41,"Tarsia, Italy","Rende, Italy",Car,15.41
2025-07-02 09:45,"Rende, Italy","Torano Castello, Italy",Car,10.73
2025-07-02 10:22,"Torano Castello, Italy","Nocera Scalo, Italy",Car,35.44
2025-07-02 10:34,"Nocera Scalo, Italy","Quattromiglia, Italy",Car,23.16
2025-07-02 10:57,"Quattromiglia, Italy","Altilia, Italy",Car,13.79
2025-07-02 13:18,"Pizzo, Italy","Parghelia, Italy",Car,15.58
2025-07-02 13:32,"Parghelia, Italy","Vibo Marina, Italy",Car,10.46
2025-07-04 06:54,"Ricadi, Italy","Bagnara Calabra, Italy",Car,25.41
