Date,From,To,Mode,Distance (mi)
2025-01-06 17:32,"Hailey, United States","King, United States",Flight,443.85
2025-01-06 17:43,"King, United States","Camas County, United States",Flight,429.86
2025-01-06 18:06,"Camas County, United States","Washington County, United States",Flight,137.36
2025-01-06 18:46,"Washington County, United States","Yakima County, United States",Flight,262.9
2025-01-06 18:55,"Yakima County, United States","Covington, United States",Car,49.0
2025-01-06 21:06,"Covington, United States","Mercer Island, United States",Car,17.82
2025-01-10 04:20,"SeaTac, United States","Kihei, United States",Flight,2653.92
2025-01-10 22:57,"Maui County, United States","Kihei, United States",Car,10.0
2025-01-14 20:58,"Kihei, United States","Kahului, United States",Car,12.04
2025-01-14 20:59,"Kahului, United States","Kihei, United States",Car,12.06
2025-01-25 03:35,"Kahului, United States","Kihei, United States",Car,14.75
2025-01-25 23:30,"Paia, United States","Kihei, United States",Car,11.94
2025-02-02 06:44,"Kahului, United States","Kihei, United States",Car,12.48
2025-02-16 18:31,"Maalaea, United States","Lahaina, United States",Car,12.57
2025-02-17 04:02,"Lahaina, United States","Kihei, United States",Car,11.19
2025-02-24 20:25,"Kihei, United States","Kahului, United States",Car,11.93
2025-03-13 01:01,"Maui County, United States","Kalaoa, United States",Car,83.71
2025-03-15 00:03,"Kailua, United States","Wailuku, United States",Car,83.96
2025-03-21 03:11,"Kahului, United States","SeaTac, United States",Flight,2639.87
2025-03-21 16:58,"Mercer Island, United States","Fort Lewis, United States",Car,41.23
2025-03-21 17:01,"Fort Lewis, United States","Mercer Island, United States",Car,41.25
2025-03-21 17:15,"Mercer Island, United States","Seatac, United States",Car,10.75
2025-03-21 17:29,"Seatac, United States","Fife, United States",Car,14.21
2025-03-21 17:42,"Fife, United States","Fort Lewis, United States",Car,12.45
2025-03-21 18:00,"Fort Lewis, United States","Olympia, United States",Car,14.13
2025-03-21 19:05,"Lacey, United States","Seattle, United States",Car,39.93
2025-03-21 19:25,"Seattle, United States","Lakewood, United States",Car,28.14
2025-03-21 19:38,"Lakewood, United States","Federal Way, United States",Car,12.01
2025-03-21 19:49,"Federal Way, United States","Tukwila, United States",Car,12.07
2025-03-21 20:05,"Tukwila, United States","Seattle, United States",Car,13.19
2025-03-22 16:24,"Seattle, United States","Pierce County, United States",Car,56.65
2025-03-22 16:29,"Pierce County, United States","Yakima, United States",Car,43.36
2025-03-22 23:46,"Yakima, United States","Ketchum, United States",Flight,377.31
2025-03-29 16:05,"Hailey, United States","Seattle, United States",Flight,482.11
2025-03-29 16:07,"Seattle, United States","Bainbridge Island, United States",Car,10.38
2025-04-03 23:22,"Seatac, United States","Kahului, United States",Flight,2646.4
2025-04-15 18:58,"Kihei, United States","Kahului, United States",Car,13.08
2025-04-15 19:00,"Kahului, United States","Kihei, United States",Car,12.39
2025-04-15 19:52,"Kahului, United States","Kihei, United States",Car,10.45
2025-04-25 19:16,"Kihei, United States","Kaupakalua, United States",Car,18.1
2025-04-25 19:42,"Kaupakalua, United States","Kihei, United States",Car,14.63
2025-04-30 00:13,"Lahaina, United States","Kihei, United States",Car,16.72
2025-04-30 00:21,"Kihei, United States","Lahaina, United States",Car,14.16
2025-05-12 01:00,"Maui County, United States","None, None",Flight,566.89
2025-05-12 05:27,"None, None","SeaTac, United States",Flight,1294.78
2025-05-13 20:40,"SeaTac, United States","Las Veredas, Mexico",Flight,1817.21
2025-05-13 21:19,"San José Viejo, Mexico","Los Cabos Municipality, Mexico",Car,10.05
2025-05-18 21:50,"Los Cabos, Mexico","Las Veredas, Mexico",Car,13.72
2025-05-19 02:50,"Las Veredas, Mexico","SeaTac, United States",Flight,1816.47
2025-05-28 15:01,"Seattle, United States","San Juan, United States",Car,75.36
2025-05-28 15:35,"San Juan, United States","Kingston, United States",Car,67.38
2025-06-01 17:48,"Roche Harbor, United States","Kitsap, United States",Car,58.23
2025-06-01 18:11,"Kitsap, United States","San Juan, United States",Car,59.75
2025-06-07 10:07,"SeaTac, United States","Schiphol, Netherlands",Flight,4871.78
2025-06-07 15:21,"Schiphol, Netherlands","Fiumicino, Italy",Flight,806.38
2025-06-07 15:58,"Fiumicino, Italy","Bracciano, Italy",Car,15.01
2025-06-08 07:11,"Canale Monterano, Italy","Attigliano, Italy",Car,30.14
2025-06-08 07:40,"Attigliano, Italy","Capranica, Italy",Car,19.14
2025-06-08 08:22,"Viterbo, Italy","Bomarzo, Italy",Car,12.41
2025-06-08 08:58,"Civitella D'Agliano, Italy","Colle Di Val D'Elsa, Italy",Car,77.15
2025-06-08 09:00,"Colle Di Val D'Elsa, Italy","Castiglione In Teverina, Italy",Car,76.35
2025-06-08 09:21,"Castiglione In Teverina, Italy","Ponticelli, Italy",Car,22.65
2025-06-08 09:42,"Ponticelli, Italy","Bettolle, Italy",Car,22.71
2025-06-08 10:10,"Bettolle, Italy","Siena, Italy",Car,23.85
2025-06-08 10:40,"Siena, Italy","Tavarnelle Val Di Pesa, Italy",Car,19.32
2025-06-11 08:21,"Tavarnelle Val Di Pesa, Italy","Florence, Italy",Car,11.71
2025-06-11 17:29,"Florence, Italy","Tavarnelle Val Di Pesa, Italy",Car,13.97
2025-06-13 09:12,"Tavarnelle Val Di Pesa, Italy","Castelnuovo Berardenga, Italy",Car,22.87
2025-06-13 09:30,"Castelnuovo Berardenga, Italy","Monteriggioni, Italy",Car,17.5
2025-06-13 09:48,"Monteriggioni, Italy","Siena, Italy",Car,10.84
2025-06-13 10:03,"Siena, Italy","Rapolano Terme, Italy",Car,12.36
2025-06-14 06:13,"Montepulciano, Italy","Civitella D'Agliano, Italy",Car,37.18
2025-06-14 06:35,"Civitella D'Agliano, Italy","Chiusi, Italy",Car,31.25
2025-06-14 07:17,"Baschi, Italy","Giove, Italy",Car,14.17
2025-06-14 07:27,"Giove, Italy","Rome, Italy",Car,47.19
2025-06-14 07:33,"Rome, Italy","Orte, Italy",Car,43.52
2025-06-14 07:51,"Orte, Italy","Nazzano, Italy",Car,19.35
2025-06-14 08:17,"Nazzano, Italy","Rome, Italy",Car,17.96
2025-06-14 08:52,"Rome, Italy","Fiumicino, Italy",Car,15.29
2025-06-14 09:50,"Fiumicino, Italy","Graffignano, Italy",Car,52.15
2025-06-14 10:11,"Graffignano, Italy","Rome, Italy",Car,40.88
2025-06-14 10:27,"Rome, Italy","Castelnuovo Di Porto, Italy",Car,12.9
2025-06-14 10:45,"Castelnuovo Di Porto, Italy","Magliano Sabina, Italy",Car,18.28
2025-06-14 10:59,"Magliano Sabina, Italy","Bomarzo, Italy",Car,16.39
2025-06-14 11:11,"Graffignano, Italy","Chiusi, Italy",Car,36.24
2025-06-14 11:23,"Chiusi, Italy","Orvieto, Italy",Car,18.77
2025-06-14 11:40,"Orvieto, Italy","Chiusi, Italy",Car,18.81
2025-06-14 12:12,"Montepulciano, Italy","Allerona, Italy",Car,20.09
2025-06-14 12:32,"Allerona, Italy","Cetona, Italy",Car,11.34
2025-06-14 12:49,"Cetona, Italy","Ciconia, Italy",Car,18.51
2025-06-14 13:45,"Ciconia, Italy","Rome, Italy",Car,54.11
2025-06-14 14:06,"Rome, Italy","Attigliano, Italy",Car,38.16
2025-06-14 14:20,"Attigliano, Italy","Magliano Sabina, Italy",Car,15.9
2025-06-14 14:39,"Magliano Sabina, Italy","Capena, Italy",Car,16.73
2025-06-14 14:54,"Capena, Italy","Rome, Italy",Car,13.45
2025-06-14 15:45,"Fiumicino, Italy","Rome, Italy",Car,12.36
2025-06-17 09:15,"Rome, Italy","Gricignano di Aversa, Italy",Flight,108.45
2025-06-17 09:53,"Gricignano di Aversa, Italy","Frosinone, Italy",Car,65.84
2025-06-17 10:15,"Frosinone, Italy","Ceprano, Italy",Car,14.77
2025-06-17 10:34,"Ceprano, Italy","Cassino, Italy",Car,15.15
2025-06-17 11:00,"Cassino, Italy","Capua, Italy",Car,32.19
2025-06-17 11:13,"San Tammaro, Italy","Caivano, Italy",Car,10.35
2025-06-17 12:07,"Naples, Italy","Massa Lubrense, Italy",Car,18.69
2025-06-17 12:30,"Massa Lubrense, Italy","None, Italy",Car,10.86
2025-06-17 12:57,"None, Italy","Massa Lubrense, Italy",Car,11.61
2025-06-18 15:07,"Sorrento, Italy","None, None",Car,14.49
2025-06-18 17:49,"Caivano, Italy","Rome, Italy",Flight,115.23
2025-06-20 13:09,"Fiumicino, Italy","Slatine, Croatia",Flight,239.12
2025-06-22 07:18,"None, Croatia","Grad Vis, Croatia",Car,22.22
2025-06-25 08:03,"None, Croatia","Curzola, Croatia",Car,23.85
2025-06-26 07:18,"Curzola, Croatia","Dubrovnik-Neretva County, Croatia",Car,13.61
2025-06-26 07:47,"Dubrovnik-Neretva County, Croatia","Grad Korčula, Croatia",Car,10.9
2025-06-27 07:46,"Polače, Croatia","Dubrovnik-Neretva County, Croatia",Car,16.32
2025-06-28 10:17,"Dubrovnik, Croatia","None, Croatia",Car,25.38
2025-06-28 17:18,"None, None","Martina Franca, Italy",Flight,136.44
2025-06-30 08:02,"Fasano, Italy","Ostuni, Italy",Car,10.83
2025-06-30 08:16,"Ostuni, Italy","Carovigno, Italy",Car,14.22
2025-06-30 10:29,"Torchiarolo, Italy","Lecce, Italy",Car,11.09
2025-07-01 09:31,"Cellino San Marco, Italy","Carovigno, Italy",Car,22.15
2025-07-01 09:39,"Carovigno, Italy","San Pietro Vernotico, Italy",Car,19.86
2025-07-02 07:00,"Massafra, Italy","Trebisacce, Italy",Car,58.04
2025-07-02 07:21,"Trebisacce, Italy","Ginosa, Italy",Car,41.5
2025-07-02 07:37,"Ginosa, Italy","Policoro, Italy",Car,16.83
2025-07-02 07:54,"Policoro, Italy","Roseto Capo Spulico, Italy",Car,15.35
2025-07-02 08:22,"Roseto Capo Spulico, Italy","Villapiana Lido, Italy",Car,14.54
2025-07-02 08:55,"Villapiana, Italy","San Lorenzo Del Vallo, Italy",Car,15.52
2025-07-02 09:00,"San Lorenzo Del Vallo, Italy","Villapiana, Italy",Car,14.69
2025-07-02 09:24,"Villapiana, Italy","San Lorenzo Del Vallo, Italy",Car,14.97
2025-07-02 09:41,"San Lorenzo Del Vallo, Italy","Rende, Italy",Car,23.37
2025-07-02 10:22,"Luzzi, Italy","Nocera Scalo, Italy",Car,32.12
2025-07-02 10:35,"Nocera Scalo, Italy","Serra di Ulivo, Italy",Car,24.34
2025-07-02 10:59,"Serra di Ulivo, Italy","Altilia, Italy",Car,16.33
2025-07-02 13:18,"Pizzo, Italy","Parghelia, Italy",Car,15.58
