Location,Fractional Days
"Kihei, United States",63.5
"Mercer Island, United States",14.2
"Wailea, United States",7.4
"Makawao, United States",5.0
"Bend, United States",4.2
"Fujikawaguchiko, Japan",2.8
"Houston, United States",2.6
"New Orleans, United States",2.4
"Nassau, The Bahamas",2.0
"Nassau, Bahamas",2.0
"Los Angeles, United States",1.8
"Kahului, United States",1.1
"Seattle, United States",1.1
"Maui County, United States",0.9
"Tokyo, Japan",0.8
"Bellevue, United States",0.7
"Yakima, United States",0.7
"Paia, United States",0.6
"Medina, United States",0.5
"Fujinomiya, Japan",0.5
"Narita-shi, Japan",0.5
"Waipahu, United States",0.4
"Deschutes County, United States",0.4
"Seatac, United States",0.3
"SeaTac, United States",0.3
"Fujiyoshida, Japan",0.3
"Minato, Japan",0.2
"Honolulu, United States",0.2
"Redmond, United States",0.2
"Lahaina, United States",0.2
"Maui, United States",0.2
"Thurston County, United States",0.2
"Tacoma, United States",0.2
"Pomona, United States",0.2
"None, None",0.2
"Chūō, Japan",0.1
"Makena, United States",0.1
"Haʻikū, United States",0.1
"Wailuku, United States",0.1
"Golden Valley County, United States",0.1
"Pukalani, United States",0.1
"Charlotte, United States",0.1
"New Providence, Bahamas",0.1
"Federal Way, United States",0.1
"Atlanta, United States",0.1
"Newnan, United States",0.1
"Kenner, United States",0.1
"Haiku, United States",0.1
"Kula, United States",0.1
"Lower Paia, United States",0.1
"Issaquah, United States",0.1
"York County, United States",0.1
"Burien, United States",0.1
"Puyallup, United States",0.1
"Sandy, United States",0.1
"King County, United States",0.0
"Madras, United States",0.0
"Taito, Japan",0.0
"Pronghorn, United States",0.0
"Huntsville, United States",0.0
"Mineral, United States",0.0
"Chehalis, United States",0.0
"Webster, United States",0.0
"Seventh Mountain, United States",0.0
"Goldendale, United States",0.0
"Uenohara, Japan",0.0
"Wasco County, United States",0.0
"Lewis County, United States",0.0
"Warm Springs, United States",0.0
"Yakima County, United States",0.0
"Tsuru, Japan",0.0
"Humble, United States",0.0
"Chiba, Japan",0.0
"Timmonsville, United States",0.0
"Hana, United States",0.0
"Kanahena, United States",0.0
"Portland, United States",0.0
"Kittitas County, United States",0.0
"Funabashi-shi, Japan",0.0
"Otsuki, Japan",0.0
"Sagamihara, Japan",0.0
"Fort Lewis, United States",0.0
"Maalaea, United States",0.0
"Culver, United States",0.0
"Jefferson County, United States",0.0
"Hachioji-shi, Japan",0.0
"Fujinomiya-shi, Japan",0.0
"Centralia, United States",0.0
"Gresham, United States",0.0
"Government Camp, United States",0.0
"Shaniko, United States",0.0
"Mitaka, Japan",0.0
"Ichikawa-shi, Japan",0.0
"Kent, United States",0.0
"Moro, United States",0.0
"Kunitachi-shi, Japan",0.0
"Haiku-Pauwela, United States",0.0
"Ridgefield, United States",0.0
"Shibuya, Japan",0.0
"Hickam Housing, United States",0.0
"Lacey, United States",0.0
"Kelso, United States",0.0
"Kalama, United States",0.0
"Wasco, United States",0.0
"Biggs Junction, United States",0.0
"Wapato, United States",0.0
"Auburn, United States",0.0
"Fuchu, Japan",0.0
"Chiyoda, Japan",0.0
"Aldine, United States",0.0
"Manchester, United States",0.0
"Lakewood, United States",0.0
"Rhododendron, United States",0.0
"Antelope, United States",0.0
"Grass Valley, United States",0.0
"Easton, United States",0.0
"Powell Butte, United States",0.0
"Gig Harbor, United States",0.0
"Firwood, United States",0.0
"Baton Rouge, United States",0.0
"Tukwila, United States",0.0
"Fairview, United States",0.0
"Klickitat County, United States",0.0
"Haliimaile, United States",0.0
"Narashino-shi, Japan",0.0
"Shisui, Japan",0.0
"Yokoshibahikari, Japan",0.0
"Kailua, United States",0.0
"Inglewood, United States",0.0
"Union Gap, United States",0.0
"Ellensburg, United States",0.0
"Fife, United States",0.0
"Castle Rock, United States",0.0
"Toppenish, United States",0.0
"Sakura, Japan",0.0
"Narita, Japan",0.0
"Metairie, United States",0.0
"Shoshone County, United States",0.0
"Clackamas County, United States",0.0
"South Cle Elum, United States",0.0
"Grapeview, United States",0.0
"Cle Elum, United States",0.0
"North Bend, United States",0.0
"Maʻalaea, United States",0.0
"Olympia, United States",0.0
"Terrebonne, United States",0.0
"Terrace Heights, United States",0.0
"Snoqualmie, United States",0.0
"Prineville, United States",0.0
"Tumwater, United States",0.0
"Hino, Japan",0.0
"Yotsukaido, Japan",0.0
"Tomisato, Japan",0.0
"Des Moines, United States",0.0
"Olinda, United States",0.0
