Date,From,To,Mode,Distance (mi)
2024-01-03 14:29,"Kenner, United States","York County, United States",Flight,637.18
2024-01-03 15:01,"York County, United States","Charlotte, United States",Car,22.65
2024-01-03 17:15,"Charlotte, United States","Timmonsville, United States",Car,91.0
2024-01-03 18:35,"Timmonsville, United States","Nassau, The Bahamas",Flight,642.52
2024-01-07 22:45,"New Providence, Bahamas","Houston, United States",Flight,1153.15
2024-01-09 13:22,"Humble, United States","Houston, United States",Car,15.13
2024-01-09 21:43,"Webster, United States","Houston, United States",Car,10.02
2024-01-10 14:46,"Houston, United States","Newnan, United States",Flight,665.42
2024-01-10 16:52,"Newnan, United States","Atlanta, United States",Car,25.69
2024-01-10 17:39,"Atlanta, United States","Huntsville, United States",Flight,141.75
2024-01-10 17:47,"Huntsville, United States","Baton Rouge, United States",Flight,111.6
2024-01-10 20:37,"Charlotte, United States","Golden Valley County, United States",Flight,1333.43
2024-01-10 21:21,"Golden Valley County, United States","Mineral, United States",Flight,311.85
2024-01-10 22:04,"Shoshone County, United States","Seatac, United States",Flight,307.88
2024-01-12 18:49,"Seatac, United States","Seattle, United States",Car,10.89
2024-01-12 18:54,"Seattle, United States","Seatac, United States",Car,10.89
2024-01-12 18:56,"Seatac, United States","Manchester, United States",Car,12.81
2024-01-13 00:36,"Manchester, United States","Makawao, United States",Flight,2633.78
2024-01-15 18:20,"Makawao, United States","Kihei, United States",Car,10.59
2024-02-04 03:31,"Kahului, United States","None, None",Flight,1771.93
2024-02-04 05:13,"None, None","Los Angeles, United States",Flight,713.1
2024-02-06 00:26,"Los Angeles, United States","Federal Way, United States",Flight,940.34
2024-02-06 23:09,"Fort Lewis, United States","Lacey, United States",Car,10.82
2024-02-06 23:27,"Tumwater, United States","Centralia, United States",Car,15.77
2024-02-07 00:49,"Castle Rock, United States","Kelso, United States",Car,11.58
2024-02-07 00:59,"Kelso, United States","Kalama, United States",Car,12.65
2024-02-07 01:10,"Kalama, United States","Ridgefield, United States",Car,13.23
2024-02-07 01:24,"Ridgefield, United States","Portland, United States",Car,15.61
2024-02-07 04:18,"Wasco County, United States","Warm Springs, United States",Car,18.15
2024-02-07 04:53,"Madras, United States","Culver, United States",Car,14.68
2024-02-07 05:04,"Culver, United States","Redmond, United States",Car,10.04
2024-02-09 19:19,"Terrebonne, United States","Jefferson County, United States",Car,10.79
2024-02-09 19:30,"Jefferson County, United States","Madras, United States",Car,10.81
2024-02-09 20:34,"Antelope, United States","Shaniko, United States",Car,11.61
2024-02-09 21:08,"Grass Valley, United States","Moro, United States",Car,10.61
2024-02-10 21:21,"Ellensburg, United States","Kittitas County, United States",Car,13.68
2024-02-10 21:39,"South Cle Elum, United States","Easton, United States",Car,10.22
2024-02-10 21:59,"Easton, United States","King County, United States",Car,19.61
2024-02-12 18:15,"SeaTac, United States","Federal Way, United States",Car,10.08
2024-02-12 23:58,"Federal Way, United States","Maui County, United States",Flight,2630.45
2024-02-18 03:15,"Wailea, United States","Maui County, United States",Car,10.03
2024-03-01 09:04,"Paia, United States","Tacoma, United States",Flight,2623.9
2024-03-01 09:16,"Tacoma, United States","Seattle, United States",Car,18.64
2024-03-03 21:18,"Auburn, United States","Redmond, United States",Flight,220.66
2024-03-06 03:32,"Redmond, United States","Puyallup, United States",Flight,210.68
2024-03-06 03:40,"Puyallup, United States","Burien, United States",Car,15.1
2024-03-07 19:25,"Des Moines, United States","Gig Harbor, United States",Car,15.47
2024-03-07 19:30,"Gig Harbor, United States","Grapeview, United States",Car,14.84
2024-03-08 00:50,"Grapeview, United States","Maui County, United States",Flight,2609.02
2024-03-24 20:21,"Maui County, United States","Honolulu, United States",Car,99.79
2024-03-25 07:54,"Waipahu, United States","Narita-shi, Japan",Flight,3810.63
2024-03-25 11:09,"Hino, Japan","Sagamihara, Japan",Car,11.75
2024-03-30 11:31,"Narita-shi, Japan","Yokoshibahikari, Japan",Car,21.98
2024-03-30 11:50,"Yokoshibahikari, Japan","None, None",Flight,265.39
2024-03-30 17:49,"None, None","Waipahu, United States",Flight,3543.02
2024-03-30 20:33,"Honolulu, United States","Maui County, United States",Flight,101.45
2024-04-15 06:15,"Kahului, United States","Kihei, United States",Car,12.34
2024-04-23 02:16,"Paia, United States","None, None",Flight,186.35
2024-04-23 07:06,"None, None","Thurston County, United States",Flight,2434.34
2024-04-23 07:18,"Thurston County, United States","SeaTac, United States",Car,46.9
