Date,From,To,Mode,Distance (mi)
2024-01-03 14:29,"Kenner, United States","York County, United States",Flight,637.14
2024-01-03 15:01,"York County, United States","Charlotte, United States",Car,22.65
2024-01-03 17:15,"Charlotte, United States","Timmonsville, United States",Car,91.0
2024-01-03 18:35,"Timmonsville, United States","Nassau, The Bahamas",Flight,642.52
2024-01-07 22:45,"New Providence, Bahamas","Houston, United States",Flight,1153.15
2024-01-10 14:46,"Houston, United States","Newnan, United States",Flight,665.42
2024-01-10 16:52,"Newnan, United States","Atlanta, United States",Car,25.69
2024-01-10 17:39,"Atlanta, United States","Huntsville, United States",Flight,141.75
2024-01-10 17:47,"Huntsville, United States","Baton Rouge, United States",Flight,111.6
2024-01-10 20:37,"Baton Rouge, United States","Golden Valley County, United States",Flight,1335.41
2024-01-10 21:21,"Golden Valley County, United States","Mineral, United States",Flight,311.85
2024-01-10 22:04,"Shoshone County, United States","Seatac, United States",Flight,307.88
2024-01-12 18:49,"Seatac, United States","Seattle, United States",Car,10.63
2024-01-12 18:54,"Seattle, United States","Seatac, United States",Car,10.89
2024-01-12 18:56,"Seatac, United States","Manchester, United States",Car,12.81
2024-01-13 00:36,"Manchester, United States","Makawao, United States",Flight,2633.78
2024-01-15 18:20,"Makawao, United States","Kihei, United States",Car,10.59
2024-02-04 03:31,"Kahului, United States","None, None",Flight,1771.93
2024-02-04 05:13,"None, None","Los Angeles, United States",Flight,713.1
2024-02-06 00:26,"Los Angeles, United States","Federal Way, United States",Flight,940.34
2024-02-06 22:25,"Seattle, United States","Federal Way, United States",Car,19.95
2024-02-06 22:54,"Federal Way, United States","Lakewood, United States",Car,12.25
2024-02-06 23:12,"Fort Lewis, United States","Olympia, United States",Car,14.65
2024-02-06 23:34,"Olympia, United States","Chehalis, United States",Car,25.16
2024-02-07 00:39,"Chehalis, United States","Castle Rock, United States",Car,26.61
2024-02-07 01:01,"Castle Rock, United States","Woodland, United States",Car,26.68
2024-02-07 01:18,"Woodland, United States","Vancouver, United States",Car,19.3
2024-02-07 01:55,"Vancouver, United States","Boring, United States",Car,22.01
2024-02-07 03:32,"Sandy, United States","Government Camp, United States",Car,15.93
2024-02-07 04:18,"Wasco County, United States","Warm Springs, United States",Car,18.15
2024-02-07 04:37,"Warm Springs, United States","Madras, United States",Car,14.22
2024-02-07 04:58,"Madras, United States","Terrebonne, United States",Car,19.03
2024-02-07 05:18,"Terrebonne, United States","Redmond, United States",Car,11.71
2024-02-09 19:29,"Jefferson County, United States","Madras, United States",Car,10.34
2024-02-09 20:31,"Madras, United States","Wasco County, United States",Car,24.68
2024-02-09 20:56,"Wasco County, United States","Grass Valley, United States",Car,20.69
2024-02-09 21:18,"Grass Valley, United States","Wasco, United States",Car,18.97
