Location,Fractional Days
"Kihei, United States",84.2
"Wailea, United States",34.0
"Mercer Island, United States",11.1
"Makawao, United States",4.5
"Bend, United States",2.8
"Littleton, United States",2.6
"Kahului, United States",2.5
"Seattle, United States",1.4
"None, None",0.9
"Makena, United States",0.9
"Roxborough Park, United States",0.9
"Hood River, United States",0.8
"Paia, United States",0.8
"Kula, United States",0.5
"Lahaina, United States",0.4
"Bellevue, United States",0.4
"Wailuku, United States",0.2
"Maui County, United States",0.2
"Lacey, United States",0.2
"Jefferson County, United States",0.2
"Kapaa, United States",0.2
"Maui, United States",0.2
"Denver, United States",0.2
"Kanahena, United States",0.2
"Medina, United States",0.2
"Redmond, United States",0.1
"SeaTac, United States",0.1
"None, United States of America",0.1
"Haliimaile, United States",0.1
"Fremont, United States",0.1
"San Juan, United States",0.1
"Madras, United States",0.1
"Maʻalaea, United States",0.1
"Island, United States",0.1
"Umatilla County, United States",0.0
"Yakima, United States",0.0
"Wasco County, United States",0.0
"Jefferson, United States",0.0
"Morrison, United States",0.0
"Vancouver, United States",0.0
"Kent, United States",0.0
"Goldendale, United States",0.0
"Pukalani, United States",0.0
"Hood River County, United States",0.0
"Easton, United States",0.0
"Douglas County, United States",0.0
"Kingston, United States",0.0
"Kitsap, United States",0.0
"Tumwater, United States",0.0
"Waikapu, United States",0.0
"King County, United States",0.0
"Yakima County, United States",0.0
"Kelso, United States",0.0
"Aurora, United States",0.0
"Warm Springs, United States",0.0
"Moro, United States",0.0
"San Juan County, United States",0.0
"Ellensburg, United States",0.0
"Centralia, United States",0.0
"Cascade Locks, United States",0.0
"Corbett, United States",0.0
"Carbon County, United States",0.0
"Sublette County, United States",0.0
"Tacoma, United States",0.0
"Aurora District, United States",0.0
"Mount Hood, United States",0.0
"Deschutes County, United States",0.0
"Lakewood, United States",0.0
"Maalaea, United States",0.0
"Outlook, United States",0.0
"Lewis County, United States",0.0
"Kaanapali, United States",0.0
"Pulehu, United States",0.0
"Highlands Ranch, United States",0.0
"Hudson, United States",0.0
"Camp Maluhia, United States",0.0
"Des Moines, United States",0.0
"Hansville, United States",0.0
"Mason County, United States",0.0
"Englewood, United States",0.0
"Kassler, United States",0.0
"Haʻikū, United States",0.0
"Burien, United States",0.0
"Grays Harbor County, United States",0.0
"Fremont County, United States",0.0
"Vashon, United States",0.0
"Bainbridge Island, United States",0.0
"Lone Tree, United States",0.0
"Lower Paia, United States",0.0
"Grass Valley, United States",0.0
"Parker, United States",0.0
