Date,From,To,Mode,Distance (mi)
2023-01-26 01:35,"Maui County, United States","None, None",Flight,223.58
2023-01-26 05:52,"None, None","Grays Harbor County, United States",Car,64.81
2023-01-26 05:56,"Grays Harbor County, United States","Lacey, United States",Car,29.6
2023-01-26 06:02,"Lacey, United States","Vashon, United States",Car,31.23
2023-01-26 06:07,"Vashon, United States","Bainbridge Island, United States",Car,21.96
2023-01-26 06:13,"Bainbridge Island, United States","Seattle, United States",Car,14.6
2023-01-27 17:31,"Seattle, United States","Mason County, United States",Car,57.42
2023-01-27 22:25,"Mason County, United States","Kapaa, United States",Flight,2638.53
2023-01-27 22:46,"Kapaa, United States","None, None",Flight,185.21
2023-01-27 22:57,"None, None","Camp Maluhia, United States",Car,49.21
2023-01-27 23:06,"Camp Maluhia, United States","Wailuku, United States",Car,10.55
2023-03-28 21:28,"Maui County, United States","None, None",Car,21.5
2023-03-29 02:32,"None, None","Lacey, United States",Flight,2589.25
2023-03-29 02:40,"Lacey, United States","Kent, United States",Car,33.76
2023-03-30 18:09,"Seattle, United States","Kent, United States",Car,10.38
2023-03-30 20:13,"Kent, United States","None, None",Flight,1032.74
2023-03-30 23:57,"None, None","Kahului, United States",Flight,1175.85
2023-04-15 21:29,"Kihei, United States","Kahului, United States",Car,12.38
2023-04-21 21:32,"Kihei, United States","Kahului, United States",Car,10.95
2023-04-22 21:12,"Lower Paia, United States","None, United States of America",Car,10.21
2023-04-22 23:44,"None, United States of America","None, None",Flight,1351.8
2023-04-23 02:09,"None, None","Seattle, United States",Flight,881.64
2023-04-26 19:44,"Seattle, United States","Des Moines, United States",Car,10.01
2023-04-26 20:00,"Des Moines, United States","Tacoma, United States",Car,14.93
2023-04-26 20:30,"Tacoma, United States","Tumwater, United States",Car,30.66
2023-04-26 20:50,"Tumwater, United States","Centralia, United States",Car,13.65
2023-04-26 21:03,"Centralia, United States","Lewis County, United States",Car,12.44
2023-04-26 21:26,"Lewis County, United States","Kelso, United States",Car,29.65
2023-04-26 21:56,"Kelso, United States","Vancouver, United States",Car,35.11
2023-04-26 22:20,"Vancouver, United States","Corbett, United States",Car,17.33
2023-04-26 22:34,"Corbett, United States","Cascade Locks, United States",Car,16.87
2023-04-26 22:49,"Cascade Locks, United States","Hood River, United States",Car,10.91
2023-04-27 19:17,"Hood River County, United States","Mount Hood, United States",Car,16.26
2023-04-27 19:32,"Mount Hood, United States","Hood River County, United States",Car,12.3
2023-04-27 20:23,"Wasco County, United States","Warm Springs, United States",Car,22.05
2023-04-27 21:40,"Jefferson County, United States","Redmond, United States",Car,17.7
2023-04-30 19:15,"Redmond, United States","Madras, United States",Car,23.88
2023-04-30 19:42,"Jefferson County, United States","Wasco County, United States",Car,19.11
2023-04-30 19:59,"Wasco County, United States","Kent, United States",Car,14.79
2023-04-30 20:25,"Grass Valley, United States","Moro, United States",Car,19.85
2023-04-30 20:58,"Moro, United States","Goldendale, United States",Car,25.57
2023-04-30 21:22,"Goldendale, United States","Yakima County, United States",Car,25.74
2023-04-30 21:58,"Yakima County, United States","Yakima, United States",Car,27.3
2023-04-30 22:34,"Yakima, United States","Ellensburg, United States",Car,20.18
2023-04-30 23:06,"Ellensburg, United States","Easton, United States",Car,35.33
2023-04-30 23:31,"Easton, United States","King County, United States",Car,24.94
2023-04-30 23:58,"King County, United States","Mercer Island, United States",Car,30.29
2023-05-02 18:31,"Seattle, United States","None, None",Flight,202.1
2023-05-02 23:39,"None, None","Kihei, United States",Flight,210.02
2023-05-02 23:44,"Kihei, United States","Kahului, United States",Car,10.31
2023-05-13 19:34,"Kahului, United States","Kihei, United States",Car,10.55
2023-05-23 21:16,"None, United States of America","None, None",Car,41.94
2023-05-24 02:37,"None, None","Seattle, United States",Flight,153.81
2023-05-26 19:48,"Seattle, United States","Fremont, United States",Flight,658.31
2023-05-26 19:55,"Fremont, United States","Fremont County, United States",Car,57.89
2023-05-26 20:00,"Fremont County, United States","Fremont, United States",Car,44.45
2023-05-26 21:14,"Fremont, United States","Denver, United States",Flight,281.71
2023-05-26 23:17,"Denver, United States","Aurora, United States",Car,17.03
2023-05-30 18:15,"Denver, United States","Hudson, United States",Car,12.0
2023-05-30 18:34,"Hudson, United States","Carbon County, United States",Flight,137.69
2023-05-30 18:53,"Carbon County, United States","Sublette County, United States",Flight,158.78
2023-05-30 19:49,"Sublette County, United States","Umatilla County, United States",Flight,491.91
2023-05-30 20:02,"Umatilla County, United States","Outlook, United States",Flight,108.22
2023-05-30 20:21,"Outlook, United States","Bellevue, United States",Flight,132.22
2023-05-30 20:29,"Bellevue, United States","Burien, United States",Car,14.67
